Order_ID,Order_Date,Customer_ID,Customer_Region,Customer_City,Product_Category,Product_Name,Supplier_Name,Shipping_Mode,Warehouse_Location,Quantity,Unit_Price,Total_Revenue,Expected_Delivery_Days,Actual_Delivery_Days,Delay_Days,Delivery_Status,Return_Status,Customer_Rating
ORD00045,2023-11-16,CUST2393,Central,Bhopal,Electronics,Headphones,MegaSource Inc,Road,Mumbai WH,17,3617.24,61493.08,9,9,0,On-Time,Not Returned,5
ORD00046,2023-03-16,CUST2138,East,Guwahati,Furniture,Table,SwiftVendors,Rail,Kolkata WH,4,2037.16,8148.64,6,6,0,On-Time,Not Returned,5
ORD00047,2022-08-28,CUST1636,South,Bangalore,Sports,Dumbbells,FastSupply Co,Rail,Bangalore WH,18,835.19,15033.42,9,9,0,On-Time,Not Returned,5
ORD00048,2022-11-11,CUST1881,Central,Raipur,Sports,Cricket Bat,ReliableGoods,Sea,Kolkata WH,8,4415.86,35326.88,3,8,5,Delayed,Not Returned,1
ORD00049,2022-08-19,CUST4920,Central,Indore,Clothing,Jacket,ReliableGoods,Air,Delhi WH,4,4127.7,16510.8,3,3,0,On-Time,Not Returned,5
ORD00050,2022-12-12,CUST4127,South,Bangalore,Furniture,Sofa,SwiftVendors,Rail,Mumbai WH,2,3622.52,7245.04,5,10,5,Delayed,Not Returned,2
ORD00051,2023-11-25,CUST2378,South,Chennai,Grocery,Pulses,QuickMart Ltd,Air,Mumbai WH,6,1394.16,8364.96,8,11,3,Delayed,Not Returned,1
ORD00052,2023-08-24,CUST1418,West,Ahmedabad,Electronics,Mobile,QuickMart Ltd,Sea,Bangalore WH,10,2042.11,20421.1,6,6,0,On-Time,Not Returned,5
ORD00053,2022-10-22,CUST1379,Central,Indore,Clothing,Shoes,QuickMart Ltd,Rail,Hyderabad WH,4,558.6,2234.4,5,7,2,Delayed,Not Returned,3
ORD00054,2023-05-28,CUST2556,North,Lucknow,Grocery,Oil,SwiftVendors,Rail,Delhi WH,18,985.75,17743.5,9,9,0,On-Time,Not Returned,4
ORD00055,2023-05-30,CUST1396,North,Chandigarh,Grocery,Rice,QuickMart Ltd,Sea,Kolkata WH,12,3925.93,47111.16,5,4,-1,Early,Not Returned,5
ORD00056,2022-07-03,CUST2470,Central,Bhopal,Electronics,Camera,QuickMart Ltd,Air,Kolkata WH,2,3589.44,7178.88,4,4,0,On-Time,Not Returned,5
ORD00057,2022-03-08,CUST4471,South,Chennai,Electronics,Headphones,QuickMart Ltd,Air,Kolkata WH,10,2987.75,29877.5,4,4,0,On-Time,Not Returned,5
ORD00058,2023-06-25,CUST2408,East,Kolkata,Electronics,Camera,FastSupply Co,Rail,Bangalore WH,4,4483.85,17935.4,8,8,0,On-Time,Not Returned,4
ORD00059,2023-06-14,CUST3472,South,Chennai,Grocery,Rice,FastSupply Co,Rail,Kolkata WH,14,2937.17,41120.38,6,6,0,On-Time,Not Returned,5
ORD00060,2022-10-11,CUST2083,South,Kochi,Clothing,Shoes,ReliableGoods,Road,Hyderabad WH,16,2361.49,37783.84,7,5,-2,Early,Not Returned,5
ORD00061,2023-08-24,CUST4305,East,Bhubaneswar,Grocery,Flour,MegaSource Inc,Air,Mumbai WH,15,1734.84,26022.6,4,4,0,On-Time,Not Returned,4
ORD00062,2023-03-06,CUST1177,South,Hyderabad,Clothing,Jacket,SwiftVendors,Road,Hyderabad WH,8,4705.22,37641.76,7,8,1,Delayed,Not Returned,4
ORD00063,2023-07-04,CUST3988,East,Guwahati,Grocery,Sugar,FastSupply Co,Air,Hyderabad WH,14,459.44,6432.16,3,3,0,On-Time,Not Returned,4
ORD00064,2022-01-24,CUST2881,Central,Raipur,Electronics,Headphones,QuickMart Ltd,Rail,Delhi WH,8,4657.89,37263.12,4,11,7,Delayed,Returned,2
ORD00065,2023-02-19,CUST3196,East,Kolkata,Furniture,Table,QuickMart Ltd,Air,Delhi WH,16,4142.24,66275.84,4,4,0,On-Time,Not Returned,5
ORD00066,2023-02-19,CUST1511,North,Chandigarh,Sports,Football,MegaSource Inc,Air,Mumbai WH,13,693.15,9010.95,6,6,0,On-Time,Not Returned,5
ORD00067,2022-09-23,CUST4985,East,Guwahati,Grocery,Rice,QuickMart Ltd,Rail,Mumbai WH,18,2846.67,51240.06,8,8,0,On-Time,Not Returned,5
ORD00068,2022-01-19,CUST4777,South,Hyderabad,Sports,Cycle,MegaSource Inc,Rail,Delhi WH,15,4339.41,65091.15,7,9,2,Delayed,Not Returned,3
ORD00069,2022-12-22,CUST2550,Central,Raipur,Sports,Cycle,MegaSource Inc,Rail,Hyderabad WH,13,2880.46,37445.98,9,9,0,On-Time,Not Returned,5
ORD00070,2022-04-11,CUST1322,East,Guwahati,Sports,Cricket Bat,ReliableGoods,Air,Mumbai WH,9,4540.64,40865.76,4,4,0,On-Time,Returned,5
ORD00071,2022-04-14,CUST3261,South,Hyderabad,Grocery,Sugar,SwiftVendors,Road,Kolkata WH,15,4717.77,70766.55,4,4,0,On-Time,Not Returned,4
ORD00072,2022-02-14,CUST2200,East,Patna,Furniture,Bed,SwiftVendors,Road,Mumbai WH,13,2140.8,27830.4,6,8,2,Delayed,Not Returned,4
ORD00073,2022-07-06,CUST4397,Central,Indore,Sports,Cricket Bat,SwiftVendors,Air,Kolkata WH,1,1917.7,1917.7,6,6,0,On-Time,Not Returned,4
ORD00074,2022-04-04,CUST3574,Central,Nagpur,Grocery,Rice,SwiftVendors,Road,Bangalore WH,7,4684.79,32793.53,8,8,0,On-Time,Not Returned,5
ORD00075,2022-06-14,CUST3533,North,Jaipur,Grocery,Flour,MegaSource Inc,Air,Kolkata WH,9,3391.94,30527.46,7,7,0,On-Time,Not Returned,4
ORD00076,2023-01-15,CUST4626,Central,Indore,Grocery,Oil,QuickMart Ltd,Rail,Hyderabad WH,1,624.31,624.31,3,6,3,Delayed,Returned,1
ORD00077,2022-11-15,CUST4529,South,Bangalore,Grocery,Pulses,MegaSource Inc,Rail,Mumbai WH,12,259.34,3112.08,9,16,7,Delayed,Returned,3
ORD00078,2022-07-20,CUST2481,Central,Raipur,Grocery,Sugar,ReliableGoods,Air,Delhi WH,8,2844.91,22759.28,8,8,0,On-Time,Not Returned,5
ORD00079,2023-11-04,CUST3364,Central,Indore,Clothing,Shoes,MegaSource Inc,Rail,Hyderabad WH,11,4654.35,51197.85,3,3,0,On-Time,Not Returned,4
ORD00080,2022-10-13,CUST1787,South,Hyderabad,Clothing,Jacket,QuickMart Ltd,Rail,Hyderabad WH,19,4229.03,80351.57,5,5,0,On-Time,Not Returned,4
ORD00081,2022-03-26,CUST3885,South,Hyderabad,Sports,Football,SwiftVendors,Air,Delhi WH,17,3395.45,57722.65,4,4,0,On-Time,Not Returned,5
ORD00082,2022-07-10,CUST1284,Central,Raipur,Clothing,Shoes,FastSupply Co,Sea,Mumbai WH,8,738.62,5908.96,7,7,0,On-Time,Not Returned,5
ORD00083,2022-09-11,CUST1187,Central,Indore,Grocery,Rice,ReliableGoods,Air,Mumbai WH,3,1308.45,3925.35,8,9,1,Delayed,Not Returned,3
ORD00084,2022-01-31,CUST3708,East,Bhubaneswar,Grocery,Sugar,FastSupply Co,Rail,Bangalore WH,3,4383.78,13151.34,4,4,0,On-Time,Not Returned,4
ORD00085,2022-05-02,CUST1933,Central,Bhopal,Clothing,T-Shirt,QuickMart Ltd,Sea,Delhi WH,1,954.9,954.9,7,14,7,Delayed,Returned,1
ORD00086,2023-12-27,CUST4166,North,Chandigarh,Sports,Dumbbells,QuickMart Ltd,Air,Hyderabad WH,5,1428.28,7141.4,7,7,0,On-Time,Returned,4
ORD00087,2023-02-16,CUST2185,North,Jaipur,Sports,Cricket Bat,FastSupply Co,Rail,Bangalore WH,10,691.52,6915.2,7,8,1,Delayed,Not Returned,4
ORD00088,2022-02-22,CUST1326,North,Chandigarh,Electronics,Tablet,QuickMart Ltd,Rail,Mumbai WH,7,3396.74,23777.18,4,4,0,On-Time,Not Returned,4
ORD00089,2022-11-15,CUST4503,North,Delhi,Clothing,Saree,FastSupply Co,Air,Hyderabad WH,9,4722.71,42504.39,8,8,0,On-Time,Not Returned,5
ORD00090,2023-09-18,CUST1953,Central,Nagpur,Grocery,Oil,QuickMart Ltd,Road,Kolkata WH,7,1381.39,9669.73,9,9,0,On-Time,Not Returned,5
ORD00091,2023-06-25,CUST4549,East,Guwahati,Grocery,Flour,QuickMart Ltd,Air,Kolkata WH,9,2403.26,21629.34,6,6,0,On-Time,Not Returned,4
ORD00092,2023-03-11,CUST1413,South,Hyderabad,Electronics,Laptop,ReliableGoods,Air,Delhi WH,8,3189.98,25519.84,4,4,0,On-Time,Not Returned,5
ORD00093,2022-01-05,CUST2556,Central,Bhopal,Clothing,Shoes,MegaSource Inc,Air,Delhi WH,12,4997.36,59968.32,7,9,2,Delayed,Not Returned,3
ORD00094,2022-09-03,CUST2138,West,Pune,Sports,Dumbbells,FastSupply Co,Air,Hyderabad WH,2,568.8,1137.6,8,15,7,Delayed,Returned,2
ORD00095,2023-05-24,CUST2857,Central,Indore,Furniture,Chair,SwiftVendors,Sea,Mumbai WH,1,2517.93,2517.93,9,9,0,On-Time,Not Returned,4
ORD00096,2022-05-26,CUST3603,North,Delhi,Electronics,Headphones,ReliableGoods,Air,Delhi WH,16,1956.34,31301.44,5,5,0,On-Time,Not Returned,4
ORD00097,2022-04-13,CUST4416,West,Mumbai,Sports,Cricket Bat,ReliableGoods,Sea,Mumbai WH,5,4335.81,21679.05,3,3,0,On-Time,Not Returned,4
ORD00098,2024-01-01,CUST2494,Central,Nagpur,Grocery,Rice,MegaSource Inc,Rail,Kolkata WH,3,2406.04,7218.12,7,7,0,On-Time,Not Returned,4
ORD00099,2023-10-20,CUST1666,East,Guwahati,Electronics,Tablet,QuickMart Ltd,Sea,Kolkata WH,12,599.34,7192.08,5,5,0,On-Time,Returned,5
ORD00100,2023-06-02,CUST2516,East,Guwahati,Electronics,Laptop,SwiftVendors,Air,Mumbai WH,8,3190.4,25523.2,6,8,2,Delayed,Not Returned,4
ORD00101,2023-01-30,CUST2455,West,Mumbai,Furniture,Bed,ReliableGoods,Rail,Hyderabad WH,3,3865.36,11596.08,9,7,-2,Early,Returned,5
ORD00102,2022-02-24,CUST1858,South,Chennai,Sports,Yoga Mat,ReliableGoods,Road,Mumbai WH,1,64.26,64.26,9,16,7,Delayed,Returned,2
ORD00103,2022-03-01,CUST3745,West,Ahmedabad,Furniture,Sofa,QuickMart Ltd,Road,Bangalore WH,3,4301.84,12905.52,7,7,0,On-Time,Not Returned,5
ORD00104,2022-07-27,CUST2093,East,Bhubaneswar,Electronics,Headphones,ReliableGoods,Air,Kolkata WH,5,970.81,4854.05,9,14,5,Delayed,Not Returned,2
ORD00105,2022-06-17,CUST3874,West,Ahmedabad,Sports,Yoga Mat,SwiftVendors,Rail,Hyderabad WH,15,2782.74,41741.1,5,7,2,Delayed,Not Returned,4
ORD00106,2022-03-05,CUST4836,North,Delhi,Clothing,Jacket,MegaSource Inc,Road,Bangalore WH,14,2108.2,29514.8,7,7,0,On-Time,Not Returned,5
ORD00107,2023-12-17,CUST3799,North,Delhi,Electronics,Laptop,SwiftVendors,Road,Kolkata WH,3,3612.29,10836.87,4,4,0,On-Time,Not Returned,4
ORD00108,2022-07-26,CUST3654,South,Kochi,Furniture,Wardrobe,ReliableGoods,Air,Kolkata WH,1,1887.25,1887.25,8,11,3,Delayed,Not Returned,3
ORD00109,2022-04-18,CUST1292,West,Surat,Furniture,Sofa,FastSupply Co,Air,Kolkata WH,5,4355.33,21776.65,5,5,0,On-Time,Not Returned,5
ORD00110,2023-09-01,CUST3495,West,Ahmedabad,Furniture,Bed,MegaSource Inc,Sea,Mumbai WH,14,3665.96,51323.44,8,8,0,On-Time,Not Returned,4
ORD00111,2023-04-03,CUST3600,West,Mumbai,Furniture,Wardrobe,SwiftVendors,Road,Kolkata WH,7,3256.18,22793.26,4,4,0,On-Time,Not Returned,5
ORD00112,2023-07-18,CUST1700,West,Pune,Furniture,Chair,MegaSource Inc,Road,Delhi WH,9,3991.39,35922.51,4,4,0,On-Time,Not Returned,5
ORD00113,2023-08-30,CUST3187,South,Kochi,Grocery,Flour,MegaSource Inc,Road,Kolkata WH,15,3782.41,56736.15,8,8,0,On-Time,Not Returned,4
ORD00114,2023-09-30,CUST3986,East,Guwahati,Electronics,Headphones,QuickMart Ltd,Road,Delhi WH,15,227.9,3418.5,5,10,5,Delayed,Not Returned,1
ORD00115,2023-09-11,CUST2002,Central,Bhopal,Clothing,Jacket,MegaSource Inc,Sea,Mumbai WH,10,2003.94,20039.4,8,9,1,Delayed,Not Returned,3
ORD00116,2022-02-20,CUST1669,South,Bangalore,Clothing,Jacket,MegaSource Inc,Air,Hyderabad WH,13,4657.5,60547.5,8,9,1,Delayed,Not Returned,3
ORD00117,2022-03-24,CUST2893,East,Patna,Sports,Cricket Bat,ReliableGoods,Rail,Hyderabad WH,19,672.34,12774.46,3,3,0,On-Time,Returned,5
ORD00118,2022-04-02,CUST2554,East,Bhubaneswar,Grocery,Sugar,SwiftVendors,Road,Kolkata WH,7,3698.63,25890.41,5,6,1,Delayed,Not Returned,4
ORD00119,2022-10-10,CUST2105,East,Kolkata,Electronics,Camera,ReliableGoods,Sea,Bangalore WH,17,4874.23,82861.91,3,3,0,On-Time,Not Returned,5
ORD00120,2022-02-03,CUST4790,West,Pune,Furniture,Chair,FastSupply Co,Road,Bangalore WH,4,308.38,1233.52,7,7,0,On-Time,Not Returned,4
ORD00121,2022-01-14,CUST3621,South,Bangalore,Furniture,Chair,MegaSource Inc,Air,Mumbai WH,5,3426.86,17134.3,9,9,0,On-Time,Not Returned,5
ORD00122,2022-08-03,CUST3818,East,Kolkata,Clothing,Jeans,SwiftVendors,Sea,Bangalore WH,7,2367.36,16571.52,8,8,0,On-Time,Not Returned,4
ORD00123,2022-11-01,CUST3281,Central,Raipur,Clothing,T-Shirt,MegaSource Inc,Road,Hyderabad WH,13,2916.92,37919.96,7,7,0,On-Time,Not Returned,4
ORD00124,2023-05-02,CUST1899,Central,Nagpur,Grocery,Rice,FastSupply Co,Sea,Bangalore WH,15,472.44,7086.6,5,5,0,On-Time,Not Returned,4
ORD00125,2022-04-30,CUST3804,North,Delhi,Electronics,Mobile,MegaSource Inc,Road,Bangalore WH,11,262.88,2891.68,8,8,0,On-Time,Returned,4
ORD00126,2022-09-04,CUST2328,East,Bhubaneswar,Electronics,Laptop,ReliableGoods,Rail,Bangalore WH,4,3350.99,13403.96,9,9,0,On-Time,Not Returned,5
ORD00127,2022-04-20,CUST4452,South,Chennai,Sports,Yoga Mat,FastSupply Co,Rail,Mumbai WH,13,4125.38,53629.94,7,5,-2,Early,Not Returned,4
ORD00128,2023-12-08,CUST4147,West,Ahmedabad,Furniture,Bed,SwiftVendors,Road,Kolkata WH,7,3920.98,27446.86,6,6,0,On-Time,Not Returned,5
ORD00129,2023-05-24,CUST4178,North,Jaipur,Electronics,Mobile,QuickMart Ltd,Sea,Kolkata WH,19,2741.84,52094.96,4,5,1,Delayed,Not Returned,4
ORD00130,2022-04-12,CUST1229,East,Patna,Electronics,Mobile,FastSupply Co,Sea,Kolkata WH,2,544.34,1088.68,8,8,0,On-Time,Not Returned,5
ORD00131,2023-08-27,CUST1938,West,Surat,Grocery,Rice,QuickMart Ltd,Rail,Delhi WH,10,3455.82,34558.2,9,9,0,On-Time,Not Returned,4
ORD00132,2023-04-23,CUST4366,South,Kochi,Grocery,Oil,ReliableGoods,Rail,Bangalore WH,13,1247.35,16215.55,4,3,-1,Early,Not Returned,5
ORD00133,2023-10-30,CUST1131,South,Bangalore,Sports,Yoga Mat,FastSupply Co,Road,Hyderabad WH,6,4559.79,27358.74,3,3,0,On-Time,Not Returned,5
ORD00134,2023-07-23,CUST4297,North,Delhi,Furniture,Wardrobe,FastSupply Co,Air,Delhi WH,12,4199.41,50392.92,7,7,0,On-Time,Not Returned,5
ORD00135,2023-03-01,CUST2292,North,Delhi,Sports,Cricket Bat,SwiftVendors,Sea,Delhi WH,12,3561.45,42737.4,3,4,1,Delayed,Returned,4
ORD00136,2022-02-16,CUST2643,East,Kolkata,Grocery,Rice,MegaSource Inc,Rail,Hyderabad WH,11,4746.79,52214.69,9,9,0,On-Time,Not Returned,4
ORD00137,2022-04-18,CUST2096,West,Ahmedabad,Furniture,Sofa,QuickMart Ltd,Sea,Kolkata WH,7,205.54,1438.78,8,11,3,Delayed,Not Returned,1
ORD00138,2023-10-08,CUST1271,Central,Raipur,Grocery,Rice,MegaSource Inc,Air,Bangalore WH,1,3694.19,3694.19,4,4,0,On-Time,Not Returned,5
ORD00139,2023-02-02,CUST1864,West,Ahmedabad,Grocery,Rice,MegaSource Inc,Air,Mumbai WH,1,1684.7,1684.7,4,4,0,On-Time,Returned,4
ORD00140,2022-06-09,CUST4740,South,Hyderabad,Sports,Cricket Bat,ReliableGoods,Sea,Bangalore WH,13,4535.03,58955.39,7,7,0,On-Time,Not Returned,4
ORD00141,2022-12-30,CUST4862,South,Bangalore,Clothing,Saree,ReliableGoods,Road,Hyderabad WH,9,1370.04,12330.36,8,8,0,On-Time,Not Returned,5
ORD00142,2023-12-02,CUST3323,East,Bhubaneswar,Clothing,T-Shirt,SwiftVendors,Rail,Kolkata WH,3,3638.04,10914.12,6,11,5,Delayed,Not Returned,2
ORD00143,2023-09-24,CUST4589,Central,Indore,Sports,Yoga Mat,FastSupply Co,Road,Delhi WH,7,4394.35,30760.45,6,7,1,Delayed,Returned,3
ORD00144,2022-02-22,CUST3940,East,Guwahati,Grocery,Sugar,SwiftVendors,Road,Kolkata WH,6,256.2,1537.2,7,7,0,On-Time,Returned,4
ORD00145,2023-06-04,CUST2288,South,Chennai,Grocery,Pulses,QuickMart Ltd,Air,Delhi WH,8,2018.36,16146.88,8,8,0,On-Time,Not Returned,4
ORD00146,2022-09-22,CUST1870,South,Hyderabad,Grocery,Flour,ReliableGoods,Road,Delhi WH,9,3823.43,34410.87,7,8,1,Delayed,Not Returned,4
ORD00147,2022-04-11,CUST3684,West,Pune,Clothing,Saree,SwiftVendors,Road,Delhi WH,5,2301.85,11509.25,8,8,0,On-Time,Not Returned,4
ORD00148,2023-08-19,CUST3044,Central,Indore,Furniture,Table,QuickMart Ltd,Air,Kolkata WH,1,1372.9,1372.9,9,9,0,On-Time,Not Returned,4
ORD00149,2023-10-26,CUST2620,West,Mumbai,Electronics,Mobile,QuickMart Ltd,Road,Delhi WH,19,1138.04,21622.76,9,9,0,On-Time,Not Returned,5
ORD00150,2022-10-19,CUST4623,West,Mumbai,Sports,Dumbbells,QuickMart Ltd,Road,Kolkata WH,10,701.02,7010.2,3,3,0,On-Time,Not Returned,4
ORD00151,2023-10-14,CUST4745,East,Patna,Sports,Cycle,FastSupply Co,Air,Mumbai WH,12,4292.79,51513.48,7,8,1,Delayed,Not Returned,4
ORD00152,2023-04-23,CUST3633,West,Ahmedabad,Grocery,Rice,QuickMart Ltd,Air,Mumbai WH,15,2898.01,43470.15,8,7,-1,Early,Not Returned,4
ORD00153,2023-06-21,CUST2879,North,Delhi,Grocery,Oil,MegaSource Inc,Sea,Bangalore WH,9,428.11,3852.99,6,6,0,On-Time,Not Returned,5
ORD00154,2022-12-03,CUST1585,North,Lucknow,Clothing,Saree,SwiftVendors,Road,Delhi WH,17,1943.77,33044.09,8,8,0,On-Time,Not Returned,5
ORD00155,2023-01-09,CUST2084,West,Ahmedabad,Grocery,Oil,SwiftVendors,Road,Bangalore WH,17,1870.28,31794.76,9,9,0,On-Time,Not Returned,5
ORD00156,2022-01-10,CUST1571,Central,Indore,Furniture,Wardrobe,QuickMart Ltd,Rail,Delhi WH,12,949.61,11395.32,8,8,0,On-Time,Not Returned,5
ORD00157,2023-10-06,CUST2010,West,Surat,Sports,Cycle,SwiftVendors,Air,Kolkata WH,7,2205.76,15440.32,7,7,0,On-Time,Returned,5
